"episodes_episode_description","episodes_scenes_characters_married_to","episodes_scenes_characters_sex_type","episodes_episode_air_date","episodes_scenes_characters_title","episodes_scenes_characters_married_type","episodes_scenes_characters_name","episodes_season_num","episodes_scenes_characters_weapon_action","episodes_episode_num","episodes_scenes_alt_location","episodes_opening_sequence_locations","episodes_scenes_scene_start","episodes_scenes_characters_sex_with","episodes_scenes_sub_location","episodes_scenes_characters_married_when","episodes_scenes_characters_manner_of_death","episodes_scenes_characters_killed_by","episodes_episode_title","episodes_scenes_characters_weapon_name","episodes_scenes_characters_sex_when","episodes_scenes_location","episodes_episode_link","episodes_scenes_scene_end"
NULL,NULL,NULL,NULL,NULL,NULL,"Grenn",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,"Daenerys Targaryen",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,"Khal Drogo",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,"Daenerys Targaryen",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,"Khal Drogo",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,"Grand Maester Pycelle",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,"Ros",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,"Grand Maester Pycelle",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,"Petyr Baelish",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,"Lord Varys",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,"Joffrey Baratheon",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,"Yoren",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,"Arya Stark",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,"Yoren",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,"Arya Stark",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,"Arya Stark",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,"Hot Pie",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,"Lommy Greenhands",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,"Gendry",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,"Yoren",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,"Jeor Mormont",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,"Jon Snow",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,"Jeor Mormont",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,"Jon Snow",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,"Khal Drogo",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,"Daenerys Targaryen",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,"Rakharo",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,"Drogon",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,"Rhaegal",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,"Viserion",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,"Jorah Mormont",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,"Mirri Maz Duur",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,"Jorah Mormont",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,"Rakharo",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,"Daenerys Targaryen",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,"Drogon",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,"Rhaegal",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,"Viserion",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Tyrion arrives at King's Landing to take his father's place as Hand of the King. Stannis Baratheon plans to take the Iron Throne for his own. Robb tries to decide his next move in the war. The Night's Watch arrive at the house of Craster.",NULL,NULL,"2012-04-01","King",NULL,"Sandor Clegane",2,"has",1,NULL,"King's Landing","0:02:29",NULL,"King's Landing",NULL,"Poison","Maester Cressen","The North Remembers","Longclaw",NULL,"The Crownlands","/title/tt1971833/","0:03:08"
NULL,NULL,NULL,NULL,"King",NULL,"Joffrey Baratheon",NULL,"has",NULL,NULL,"Dragonstone","0:03:08",NULL,"King's Landing",NULL,NULL,"Janos Slynt",NULL,"Longclaw",NULL,"The Crownlands",NULL,"0:03:12"
NULL,NULL,NULL,NULL,"Hand",NULL,"Sansa Stark",NULL,"has",NULL,NULL,"Winterfell","0:03:12",NULL,"King's Landing",NULL,NULL,NULL,NULL,"Longclaw",NULL,"The Crownlands",NULL,"0:06:54"
NULL,NULL,NULL,NULL,"Hand",NULL,"Meryn Trant",NULL,"has",NULL,NULL,"The Wall","0:06:54",NULL,"King's Landing",NULL,NULL,NULL,NULL,"Longclaw",NULL,"The Crownlands",NULL,"0:09:13"
NULL,NULL,NULL,NULL,"Hand",NULL,"Joffrey Baratheon",NULL,"receives",NULL,NULL,"Vaes Dothrak","0:09:13",NULL,"King's Landing",NULL,NULL,NULL,NULL,"Lightbringer",NULL,"The Crownlands",NULL,"0:10:50"
NULL,NULL,NULL,NULL,"Khaleesi",NULL,"Tommen Baratheon",NULL,"has",NULL,NULL,NULL,"0:10:50",NULL,"Winterfell",NULL,NULL,NULL,NULL,"Needle",NULL,"The North",NULL,"0:12:46"
NULL,NULL,NULL,NULL,"Khaleesi",NULL,"Myrcella Baratheon",NULL,NULL,NULL,NULL,NULL,"0:12:46",NULL,"Winterfell",NULL,NULL,NULL,NULL,NULL,NULL,"The North",NULL,"0:13:19"
NULL,NULL,NULL,NULL,"King",NULL,"Sansa Stark",NULL,NULL,NULL,NULL,NULL,"0:13:19",NULL,"Winterfell",NULL,NULL,NULL,NULL,NULL,NULL,"The North",NULL,"0:13:26"
NULL,NULL,NULL,NULL,"King",NULL,"Dontos Hollard",NULL,NULL,NULL,NULL,NULL,"0:13:26",NULL,"Winterfell",NULL,NULL,NULL,NULL,NULL,NULL,"The North",NULL,"0:14:50"
NULL,NULL,NULL,NULL,"King",NULL,"Sandor Clegane",NULL,NULL,NULL,NULL,NULL,"0:14:50",NULL,"Craster's Keep",NULL,NULL,NULL,NULL,NULL,NULL,"The Red Waste",NULL,"0:17:55"
NULL,NULL,NULL,NULL,"Hand",NULL,"Meryn Trant",NULL,NULL,NULL,NULL,NULL,"0:17:55",NULL,"Craster's Keep",NULL,NULL,NULL,NULL,NULL,NULL,"The Red Waste",NULL,"0:18:48"
NULL,NULL,NULL,NULL,"King",NULL,"Tyrion Lannister",NULL,NULL,NULL,NULL,NULL,"0:18:48",NULL,"Craster's Keep",NULL,NULL,NULL,NULL,NULL,NULL,"North of the Wall",NULL,"0:19:23"
NULL,NULL,NULL,NULL,"King",NULL,"Bronn",NULL,NULL,NULL,NULL,NULL,"0:19:23",NULL,"Craster's Keep",NULL,NULL,NULL,NULL,NULL,NULL,"North of the Wall",NULL,"0:20:31"
NULL,NULL,NULL,NULL,"King",NULL,"Lord Varys",NULL,NULL,NULL,NULL,NULL,"0:20:31",NULL,"Dragonstone",NULL,NULL,NULL,NULL,NULL,NULL,"North of the Wall",NULL,"0:24:30"
NULL,NULL,NULL,NULL,"King",NULL,"Grand Maester Pycelle",NULL,NULL,NULL,NULL,NULL,"0:24:30",NULL,"Dragonstone",NULL,NULL,NULL,NULL,NULL,NULL,"North of the Wall",NULL,"0:25:02"
NULL,NULL,NULL,NULL,NULL,NULL,"Cersei Lannister",NULL,NULL,NULL,NULL,NULL,"0:25:02",NULL,"Dragonstone",NULL,NULL,NULL,NULL,NULL,NULL,"The Crownlands",NULL,"0:28:11"
NULL,NULL,NULL,NULL,NULL,NULL,"Petyr Baelish",NULL,NULL,NULL,NULL,NULL,"0:28:11",NULL,"Camp of the North",NULL,NULL,NULL,NULL,NULL,NULL,"The Crownlands",NULL,"0:29:10"
NULL,NULL,NULL,NULL,NULL,NULL,"Janos Slynt",NULL,NULL,NULL,NULL,NULL,"0:29:10",NULL,"King's Landing",NULL,NULL,NULL,NULL,NULL,NULL,"The Crownlands",NULL,"0:32:14"
NULL,NULL,NULL,NULL,NULL,NULL,"Tyrion Lannister",NULL,NULL,NULL,NULL,NULL,"0:32:14",NULL,"King's Landing",NULL,NULL,NULL,NULL,NULL,NULL,"The Riverlands",NULL,"0:35:42"
NULL,NULL,NULL,NULL,NULL,NULL,"Tyrion Lannister",NULL,NULL,NULL,NULL,NULL,"0:35:42",NULL,"Camp of the North",NULL,NULL,NULL,NULL,NULL,NULL,"The Crownlands",NULL,"0:37:21"
NULL,NULL,NULL,NULL,NULL,NULL,"Cersei Lannister",NULL,NULL,NULL,NULL,NULL,"0:37:21",NULL,"Camp of the North",NULL,NULL,NULL,NULL,NULL,NULL,"The Crownlands",NULL,"0:40:06"
NULL,NULL,NULL,NULL,NULL,NULL,"Bran Stark",NULL,NULL,NULL,NULL,NULL,"0:40:06",NULL,"Camp of the North",NULL,NULL,NULL,NULL,NULL,NULL,"The Riverlands",NULL,"0:41:38"
NULL,NULL,NULL,NULL,NULL,NULL,"Maester Luwin",NULL,NULL,NULL,NULL,NULL,"0:41:38",NULL,"King's Landing",NULL,NULL,NULL,NULL,NULL,NULL,"The Riverlands",NULL,"0:42:46"
NULL,NULL,NULL,NULL,NULL,NULL,"Lord Portan",NULL,NULL,NULL,NULL,NULL,"0:42:46",NULL,"King's Landing",NULL,NULL,NULL,NULL,NULL,NULL,"The Riverlands",NULL,"0:45:37"
NULL,NULL,NULL,NULL,NULL,NULL,"Northern Lord",NULL,NULL,NULL,NULL,NULL,"0:45:37",NULL,"King's Landing",NULL,NULL,NULL,NULL,NULL,NULL,"The Crownlands",NULL,"0:48:02"
NULL,NULL,NULL,NULL,NULL,NULL,"Summer",NULL,NULL,NULL,NULL,NULL,"0:48:02",NULL,"King's Landing",NULL,NULL,NULL,NULL,NULL,NULL,"The Crownlands",NULL,"0:48:27"
NULL,NULL,NULL,NULL,NULL,NULL,"Bran Stark",NULL,NULL,NULL,NULL,NULL,"0:48:27",NULL,"King's Landing",NULL,NULL,NULL,NULL,NULL,NULL,"The Crownlands",NULL,"0:50:32"
NULL,NULL,NULL,NULL,NULL,NULL,"Hodor",NULL,NULL,NULL,NULL,NULL,"0:50:32",NULL,"The Kingsroad",NULL,NULL,NULL,NULL,NULL,NULL,"The Crownlands",NULL,"0:51:00"
NULL,NULL,NULL,NULL,NULL,NULL,"Bran Stark",NULL,NULL,NULL,NULL,NULL,"0:51:00",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"The Crownlands",NULL,"0:51:23"
NULL,NULL,NULL,NULL,NULL,NULL,"Osha",NULL,NULL,NULL,NULL,NULL,"0:51:23",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"The Riverlands",NULL,"0:51:52"
NULL,NULL,NULL,NULL,NULL,NULL,"Daenerys Targaryen",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,"Drogon",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,"Doreah",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,"Rakharo",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,"Jorah Mormont",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,"Aggo",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,"Kovarro",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,"Daenerys Targaryen",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,"Rakharo",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,"Jon Snow",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,"Samwell Tarly",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,"Grenn",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,"Eddison Tollett",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,"Jon Snow",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,"Eddison Tollett",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,"Samwell Tarly",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,"Grenn",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,"Jeor Mormont",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,"Craster",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,"Jon Snow",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,"Gilly",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,"Jeor Mormont",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,"Jon Snow",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,"Melisandre",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,"Maester Cressen",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,"Davos Seaworth",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,"Matthos Seaworth",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,"Stannis Baratheon",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,"Selyse Baratheon",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,"Davos Seaworth",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,"Maester Cressen",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,"Stannis Baratheon",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,"Matthos Seaworth",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,"Davos Seaworth",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,"Melisandre",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,"Maester Cressen",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,"Robb Stark",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,"Jaime Lannister",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,"Grey Wind",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,"Shae",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,"Tyrion Lannister",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,"Petyr Baelish",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,"Cersei Lannister",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,"Alton Lannister",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,"Robb Stark",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,"Rodrik Cassel",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,"Theon Greyjoy",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,"Theon Greyjoy",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,"Robb Stark",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,"Catelyn Stark",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,"Robb Stark",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,"Cersei Lannister",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,"Joffrey Baratheon",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,"Ros",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,"Armeca",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,"Daisy",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,"Ros",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,"Daisy",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,"Janos Slynt",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,"Mhaegen",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,"Barra",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,"Janos Slynt",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
